BV043477435,1547,"Reitpacher. Paul,Nürnberg,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043477435-2"
BV043502003,1544,"Aurifaber. Andreas,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043502003-1"
BV043502021,1546,"Aurifaber. Andreas,Königsberg,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043502021-1"
BV043502033,1548,"Aurifaber. Andreas,Königsberg,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043502033-7"
BV043555409,1547,"Bech. Philipp,Leipzig,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043555409-8"
BV043598608,1537,"Schaller. Hieronymus,Nürnberg,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043598608-2"
BV043599785,1538,"Schaller. Hieronymus,Nürnberg,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043599785-7"
BV043600057,1537,"Schaller. Hieronymus,Nürnberg,Jachinus. Leonardus","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043600057-3"
BV043600286,1538,"Schaller. Hieronymus,Nürnberg,Naeve. Johann","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043600286-4"
BV043600455,1534,"Schaller. Hieronymus,Unknown","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043600455-3"
BV043602555,1542,"Schaller. Isaac,Wittenberg,Schaller. Hieronymus","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043602555-8"
BV043820645,1538,"Calvin. Jean,Basel,Grynäus. Thomas","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043820645-7"
BV043820754,1524,"Zwingli. Ulrich,Zürich,Ökolampadius. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043820754-2"
BV043953532,1543,"Massa. Apollonius,Venedig,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043953532-6"
BV043953555,1544,"Massa. Apollonius,Venedig,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043953555-3"
BV043953576,1544,"Massa. Apollonius,Venedig,Melanchthon. Philipp","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043953576-9"
BV043961778,1521,"Cordus. Euricius,Ferrara,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043961778-5"
BV043961832,1524,"Cordus. Euricius,Braunschweig,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043961832-6"
BV043961931,1526,"Cordus. Euricius,Braunschweig,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043961931-2"
BV043963318,1549,"Cornarius. Janus,Zwickau,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043963318-2"
BV043963326,1547,"Cornarius. Janus,Zwickau,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043963326-7"
BV043963335,1548,"Cornarius. Janus,Zwickau,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043963335-7"
BV043963339,1549,"Cornarius. Janus,Zwickau,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043963339-3"
BV043966585,1545,"Crato. Johannes,Breslau,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966585-9"
BV043966593,1545,"Crato. Johannes,Breslau,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966593-9"
BV043966611,1545,"Crato. Johannes,Breslau,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966611-5"
BV043966621,1546,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966621-0"
BV043966645,1547,"Crato. Johannes,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966645-3"
BV043966649,1547,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966649-9"
BV043966658,1548,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966658-5"
BV043966664,1548,"Crato. Johannes,Venedig,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966664-8"
BV043966672,1548,"Crato. Johannes,Rom,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966672-3"
BV043966684,1549,"Crato. Johannes,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966684-9"
BV043966696,1549,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043966696-1"
BV043972715,1549,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972715-7"
BV043972729,1549,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972729-8"
BV043972742,1549,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972742-6"
BV043972751,1549,"Crato. Johannes,Venedig,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972751-6"
BV043972762,1549,"Crato. Johannes,Padua,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972762-7"
BV043972774,1549,"Crato. Johannes,Venedig,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972774-3"
BV043972885,1549,"Crato. Johannes,Augsburg,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043972885-9"
BV043983535,1535,"Sturtz. Georg,Erfurt,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983535-7"
BV043983547,1545,"Sturtz. Georg,Erfurt,Camerarius. Joachim","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983547-3"
BV043983917,1530,"Sturtz. Georg,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983917-5"
BV043983933,1530,"Sturtz. Georg,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983933-3"
BV043983949,1543,"Sturtz. Georg,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983949-6"
BV043983974,1544,"Sturtz. Georg,Annaberg-Buchholz-Buchholz,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983974-1"
BV043983988,1544,"Sturtz. Georg,Annaberg-Buchholz-Buchholz,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043983988-8"
BV043984136,1548,"Sturtz. Georg,Lang. Johannes","https://nbn-resolving.org/urn:nbn:de:bvb:29-bv043984136-7"
